Train: [1][10/196]      batch time 1.504 (4.603)        loss 44.015 (44.171)
Train: [1][20/196]      batch time 1.527 (3.060)        loss 43.091 (43.925)
Train: [1][30/196]      batch time 1.511 (2.544)        loss 41.414 (43.287)
Train: [1][40/196]      batch time 1.520 (2.287)        loss 40.882 (42.762)
Train: [1][50/196]      batch time 1.511 (2.132)        loss 40.476 (42.338)
Train: [1][60/196]      batch time 1.506 (2.029)        loss 40.690 (42.010)
Train: [1][70/196]      batch time 1.515 (1.955)        loss 39.691 (41.708)
Train: [1][80/196]      batch time 1.502 (1.900)        loss 39.385 (41.433)
Train: [1][90/196]      batch time 1.524 (1.857)        loss 39.418 (41.199)
Train: [1][100/196]     batch time 1.520 (1.823)        loss 39.325 (40.987)
Train: [1][110/196]     batch time 1.505 (1.795)        loss 38.932 (40.811)
Train: [1][120/196]     batch time 1.526 (1.771)        loss 39.091 (40.650)
Train: [1][130/196]     batch time 1.528 (1.752)        loss 38.945 (40.515)
Train: [1][140/196]     batch time 1.523 (1.735)        loss 38.068 (40.386)
Train: [1][150/196]     batch time 1.518 (1.720)        loss 38.501 (40.266)
Train: [1][160/196]     batch time 1.509 (1.707)        loss 38.619 (40.159)
Train: [1][170/196]     batch time 1.515 (1.696)        loss 37.810 (40.047)
Train: [1][180/196]     batch time 1.512 (1.686)        loss 38.430 (39.959)
Train: [1][190/196]     batch time 1.513 (1.677)        loss 38.612 (39.877)
